Apartment Name,City,Days since Post,Price,M² of Construction(Area),Price/M²,No of Bedrooms,Property Url
" Apartamento Parque del Mar Costa del Este, REMATE, Vista Frontal",Costa Del Este,Recent Post(less than 30days),"B/.315,000.00",202,"B/.1,559.40",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-parque-del-mar-costa-del-este-remate-vista-frontal/18564806?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta Ganga Ph Country club Costa del este 204mt2 #JG,Costa Del Este,Recent Post(less than 30days),"B/.340,000.00",204,"B/.1,666.66",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-ganga-ph-country-club-costa-del-este-204mt2-jg/18389122?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 MATICES COSTA DEL ESTE,Costa Del Este,Recent Post(less than 30days),"B/.850,000.00",331,"B/.2,567.97",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/matices-costa-del-este/18539584?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Apartamento venta Punta Pacifica 20-6095 MB,Punta Pacifica,Recent Post(less than 30days),"B/.175,000.00",106,"B/.1,650.94",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-venta-punta-pacifica-20-6095-mb/18636511?q=number.50|keyword.Punta Pacifica&regionslug=prov-panama-ciudad-de-panama-punta-pacifica&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 GRAND TOWER de 3 RECAMARAS 300 METROS PUNTA PACIFICA,Punta Pacifica,Recent Post(less than 30days),"B/.795,000.00",300,"B/.2,650.00",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/grand-tower-de-3-recamaras-300-metros-punta-pacifica/18636622?q=number.50|keyword.Punta Pacifica&regionslug=prov-panama-ciudad-de-panama-punta-pacifica&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en Santa Maria 20-10447 GM,Santa Maria,Recent Post(less than 30days),"B/.520,000.00",182,"B/.2,857.14",2,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-santa-maria-20-10447-gm/18588800?q=number.50&regionslug=prov-panama-ciudad-de-panama-juan-diaz-santa-maria&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en Santa Maria 20-428 GM,Santa Maria,Recent Post(less than 30days),"B/.690,000.00",296,"B/.2,331.08",4,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-santa-maria-20-428-gm/18588907?q=number.50&regionslug=prov-panama-ciudad-de-panama-juan-diaz-santa-maria&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
" Se Vende Apartamento en San Felipe, Jeronimo",Casco Viejo,Mid Post(30-90 days),"B/.325,000.00",97,"B/.3,350.51",1,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/se-vende-apartamento-en-san-felipe-jeronimo/17792970?q=number.50|keyword.casco viejo&list=category&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento Costa del Este AM,Costa Del Este,Recent Post(less than 30days),"B/.210,000.00",122,"B/.1,721.31",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-costa-del-este-am/18628155?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 EXCLUSIVO APARTAMENTO A LA VENTA EN COUNTRY CLUB COSTA DEL ESTE,Costa Del Este,Recent Post(less than 30days),"B/.502,000.00",205,"B/.2,448.78",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/exclusivo-apartamento-a-la-venta-en-country-club-costa-del-este/18628321?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento Costa del Este AM,Costa Del Este,Recent Post(less than 30days),"B/.230,000.00",119,"B/.1,932.77",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-costa-del-este-am/18628599?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
" APTO EN VENTA - Edif. ""Costa View"" en Costa del este 3HAB+3Baños",Costa Del Este,Recent Post(less than 30days),"B/.265,000.00",148,"B/.1,790.54",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apto-en-venta-edif-quot-costa-view-quot-en-costa-del-este-3hab-3banos/18628735?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 VENTA APARTAMENTOS COSTA DEL ESTE NUEVOS ENTREGA INMEDIATA CB,Costa Del Este,Recent Post(less than 30days),"B/.196,000.00",98,"B/.2,000.00",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-apartamentos-costa-del-este-nuevos-entrega-inmediata-cb/18628850?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de apartamento en Costa del este. 21-3789 K.,Costa Del Este,Recent Post(less than 30days),"B/.390,000.00",221.8,"B/.1,758.34",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-21-3789-k/18628854?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
" EDIFICIO PARQUE DEL MAR, COSTA DEL ESTE, 202m2 3REC $350,000",Costa Del Este,Recent Post(less than 30days),"B/.350,000.00",202,"B/.1,732.67",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/edificio-parque-del-mar-costa-del-este-202m2-3rec-350-000/18629104?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 BAYSIDE COSTA DEL ESTE 295mts ppz2012479,Costa Del Este,Recent Post(less than 30days),"B/.539,000.00",295,"B/.1,827.11",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/bayside-costa-del-este-295mts-ppz2012479/18629238?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 En venta Apartamento Avenida Paseo del Mar PH Pearl at The Sea,Costa Del Este,Recent Post(less than 30days),"B/.750,000.00",295,"B/.2,542.37",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/en-venta-apartamento-avenida-paseo-del-mar-ph-pearl-at-the-sea/18629431?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Oportunidad! OCEAN TWO COSTA DEL ESTE ppz213502,Costa Del Este,Recent Post(less than 30days),"B/.595,000.00",282,"B/.2,109.92",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/oportunidad-ocean-two-costa-del-este-ppz213502/18629579?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 THE PEARL COSTA DEL ESTE primera línea ppz212164,Costa Del Este,Recent Post(less than 30days),"B/.630,000.00",291,"B/.2,164.94",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/the-pearl-costa-del-este-primera-linea-ppz212164/18629830?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Precioso Apartamento en Costa del Este MPS 20-11904,Costa Del Este,Recent Post(less than 30days),"B/.441,090.00",168,"B/.2,625.53",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-precioso-apartamento-en-costa-del-este-mps-20-11904/18629910?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 VENTA DE APARTAMENTO EN COSTA DEL ESTE.AJR 21-4321,Costa Del Este,Recent Post(less than 30days),"B/.750,000.00",476,"B/.1,575.63",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-ajr-21-4321/18630732?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
" Venta de apartamento en Costa del Este, PH Paramount #21-449",Costa Del Este,Recent Post(less than 30days),"B/.675,000.00",317,"B/.2,129.33",4,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-ph-paramount-21-449/18630951?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 PARAMOUNT ,Costa Del Este,Recent Post(less than 30days),"B/.820,000.00",317,"B/.2,586.75",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/paramount-costa-del-este/18631319?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en Costa del Este 20-2115,Costa Del Este,Recent Post(less than 30days),"B/.420,600.00",210,"B/.2,002.85",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-20-2115/18631787?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en Costa del Este 20-6637,Costa Del Este,Recent Post(less than 30days),"B/.600,000.00",290,"B/.2,068.96",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-20-6637/18631852?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Hermoso Apartamento en Costa del Este 21-3502,Costa Del Este,Recent Post(less than 30days),"B/.595,000.00",282,"B/.2,109.92",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-hermoso-apartamento-en-costa-del-este-21-3502/18631914?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en Costa del Este 20-7019,Costa Del Este,Recent Post(less than 30days),"B/.590,000.00",273,"B/.2,161.17",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-20-7019/18632010?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en Costa del Este 20-8277,Costa Del Este,Recent Post(less than 30days),"B/.580,000.00",260,"B/.2,230.76",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-20-8277/18632074?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta de Apartamento en Costa del Este 20-10834,Costa Del Este,Recent Post(less than 30days),"B/.490,000.00",204,"B/.2,401.96",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-de-apartamento-en-costa-del-este-20-10834/18632124?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta apartamento Breeze Costa del Este,Costa Del Este,Recent Post(less than 30days),"B/.439,000.00",216,"B/.2,032.40",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-apartamento-breeze-costa-del-este/18632129?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta apartamento venta Mirador Costa del Este,Costa Del Este,Recent Post(less than 30days),"B/.440,000.00",200,"B/.2,200.00",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-apartamento-venta-mirador-costa-del-este/18632188?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
" Apartamento en venta, Costa del Este, 203m2",Costa Del Este,Recent Post(less than 30days),"B/.345,000.00",203,"B/.1,699.50",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/apartamento-en-venta-costa-del-este-203m2/18632252?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 Venta apartamento Parque del Mar II Costa del Este,Costa Del Este,Recent Post(less than 30days),"B/.750,000.00",476,"B/.1,575.63",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/venta-apartamento-parque-del-mar-ii-costa-del-este/18632618?q=number.50|keyword.costa del este&regionslug=prov-panama-ciudad-de-panama-costa-del-este&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 PH Costa Pacífica en Punta Pacífica ID# 080-00685 (KT),Punta Pacifica,Recent Post(less than 30days),"B/.270,000.00",138,"B/.1,956.52",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/ph-costa-pacifica-en-punta-pacifica-id-080-00685-kt/18622301?q=number.50|keyword.Punta Pacifica&regionslug=prov-panama-ciudad-de-panama-punta-pacifica&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 PH Oasis on the Bay en Punta Pacifica ID# 080-00687 (KT),Punta Pacifica,Recent Post(less than 30days),"B/.205,000.00",99,"B/.2,070.70",2,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/ph-oasis-on-the-bay-en-punta-pacifica-id-080-00687-kt/18622381?q=number.50|keyword.Punta Pacifica&regionslug=prov-panama-ciudad-de-panama-punta-pacifica&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
 GREENVIEW - SANTA MARIA,Santa Maria,Recent Post(less than 30days),"B/.460,000.00",215,"B/.2,139.53",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/greenview-santa-maria/18484628?q=number.50&regionslug=prov-panama-ciudad-de-panama-juan-diaz-santa-maria&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
" Santa Maria - Vista al Golf y al Mar - 362mts2 - 900,000",Santa Maria,Recent Post(less than 30days),"B/.900,000.00",362,"B/.2,486.18",3,https://www.encuentra24.com/panama-es/bienes-raices-venta-de-propiedades-apartamentos/santa-maria-vista-al-golf-y-al-mar-362mts2-900-000/18497230?q=number.50&regionslug=prov-panama-ciudad-de-panama-juan-diaz-santa-maria&list=categoryregion&catslug=bienes-raices-venta-de-propiedades-apartamentos
